Start time (s),End time (s),Text
0.0,19.5,Intro
20.0,24.5,Reading is tricky
25.0,29.5,My eyes get picky
30.0,35.5,Believe when I say
36.0,38.5,I read it that way
39.0,46.0,But my letters are small
46.5,51.0,I can’t read them all
51.5,54.5,When I say
55.0,58.5,I read it that way
59.0,63.0,Tell me why! Crowding makes my eyes ache
63.5,68.0,Tell me why! Tiny text is a mistake
68.5,74.0,Tell me why. I never wanna see words stray
74.5,77.5,I read it that way
78.0,87.0,Do I read too slow? The words just dont flow
87.5,93.0,"Yes, I know it’s too hard"
93.5,97.0,But I read it that way
97.5,101.0,Tell me why! Crowding makes my eyes ache
101.5,106.0,Tell me why! Tiny text is a mistake
106.5,113.0,Tell me why. I never wanna see words stray
113.5,117.0,I read it that way
117.5,121.5,Now I can see my fixations are off
122.0,126.0,"From the way that they should be, yeah"
126.5,131.5,"No matter the spacing, I want you to know"
132.0,136.5,That clear text makes reading free
137.0,140.5,Letters are bigger
141.0,146.0,And lines are clearer
146.5,151.5,"They are (They are, they are, they are)"
154.5,155.5,Don’t wanna read that way
156.0,141.0,"Ain’t nothin’ but a headache (Hey, yeah)"
141.5,146.0,Crowding was a mistake (Don’t wanna read that way)
146.5,151.0,"I never wanna see words stray (Oh, yeah) "
151.5,155.0,I read it that way
155.5,158.5,Tell me why! Crowding makes my eyes ache
159.0,166.0,Tell me why! Tiny text is a mistake
166.5,171.0,I never wanna see words stray
172.0,174.5,I read it that way
175.0,179.0,Tell me why! Crowding makes my eyes ache
179.5,184.0,Tell me why! Tiny text is a mistake
184.5,190.5,Tell me why. I never wanna see words stray (Never wanna see them stray)
191.0,194.0,I read it that way
194.5,200.0,Tell me why! Crowding makes my eyes ache
200.5,204.0,Tiny text is a mistake
204.5,210.0,Tell me why. I never wanna see words stray (Never wanna see them stray)
210.5,213.5,I read it that way
214.0,223.0,’Cause I read it that way
