Start time (s),End time (s),Text
0.0,21.0,Intro
22.0,28.0,Where it began
28.5,32.0,We can't begin to know it
32.5,38.0,But then our data’s growing strong…
39.0,42.0,Panels and talks
42.5,47.0,Brain scans and psychophysics
47.5,54.0,Who knew our posters would run this long?
54.5,62.5,Hands… recording hands…
63.0,68.0,Reaching out touching keys
68.5,73.0,Collecting RTs...
73.5,77.0,Sweet paradigm (Ba ba baaa!)
77.5,84.0,Good trials never felt so good! (So good! So good! So good!)
84.5,88.5,I’ve been inclined (Ba ba baaa!)
89.0,95.0,To run more blocks than I should
95.5,99.0,Look at the graphs
99.5,104.0,We squint and try to name them
104.5,109.0,Is that an outlier or just noise?
109.5,114.0,We tweak the code
114.5,119.0,Fix one bug and break twenty
119.5,125.0,But when it finally runs— We cheer with joy!
125.5,134.0,Eyes… measuring eyes…
134.5,140.0,Vergence drift Saccades rise…
140.5,144.0,Pupil size...
144.5,149.0,Sweet paradigm (Ba ba baaa!)
149.5,156.0,Good fits never looked so good! (So good! So good! So good!)
156.5,160.5,I’ve been inclined (Ba ba baaa!)
161.0,168.0,To trust my model more than I should
169.0,180.0,Instrumental Break
180.5,185.0,Sweet paradigm (Ba ba baaa!)
185.5,192.0,VSS never felt so good! (So good! So good! So good!)
192.5,196.0,Sweet paradigm (Ba ba baaa!)
196.5,203.0,VSS never felt so good!
203.5,208.0,Sweet paradigm (Ba ba baaa!)
208.5,214.0,VSS never felt so good! (So good! So good! So good!)
214.5,219.0,Sweet paradigm (Ba ba baaa!)
219.5,228.0, VSS never felt so good! Oh no no
